id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5623269,0,"SOLUTEC TCHAD",https://angel.co/solutec-tchad,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5623269-6671efb952bd0d35f801863657973bd3-medium_jpg.jpg?buster=1524129616,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5623269-6671efb952bd0d35f801863657973bd3-thumb_jpg.jpg?buster=1524129616,0,"SOLUTEC TCHAD is a multi-disciplinary firm, created in 2014, which aims to provide Chadian companies with state-of-the-art technological support in order to bring them to the level of global competition in the fields of 'engineering.
SOLUTEC TCHAD offers solutions tailored to the needs of medium-sized companies, craftsmen, tradesmen, liberal professions, hotels, schools and universities and individuals.
Supplier of all engineering applications, SOLUTEC TCHAD provides the following services:  Information and Communication Technologies, industrial engineering,  civil engineering and training","Solutions, which you need!",2,http://www.solutec-tchad.com,2018-04-19T09:20:16.000Z,2018-04-19T10:34:59.000Z,,,,https://www.facebook.com/solutionstechnologiques/,,,"Industrial, Consulting, Technology, Civil Engineers",N'Djamena,1-10,"Technology Provider, Engineering Services, Training",,
4889753,0,"Kouran Jabo",https://angel.co/kouran-jabo,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4889753-db19243a8fc01b6b78caf03cfd257bda-medium_jpg.jpg?buster=1510044221,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4889753-db19243a8fc01b6b78caf03cfd257bda-thumb_jpg.jpg?buster=1510044221,0,,"Making Energy Affordable ",1,http://kouranjabo.com/,2017-11-07T08:34:54.000Z,2017-11-07T08:43:41.000Z,,https://twitter.com,,https://www.facebook.com/kouranjabo/,https://www.linkedin.com/company/kouran-jabo/,,"Clean Energy",N'Djamena,1-10,"Energy Service Company (Esco)",,
2247218,0,"SPARK X LAB",https://angel.co/spark-x-lab,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2247218-6b6a64306da628dd095d679c862b5ec7-medium_jpg.jpg?buster=1473768775,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2247218-6b6a64306da628dd095d679c862b5ec7-thumb_jpg.jpg?buster=1473768775,5,https://jobtown.co/,"Job posting service focusing on IT in Vietnam. Aiming to South East Asian market",2,http://sparkxlab.com/,2016-09-13T12:12:55.000Z,2016-09-13T12:15:16.000Z,,,,,,,"Outsourcing, Hr Tech",Saigon,11-50,,,https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/743/620/743620-cefab3703564f89e47aef8f6ad8ad32de49f95a7.png?1473768887
