id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
3236557,0,INOVATIX,https://angel.co/inovatix,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3236557-8eee682750d8c196d06d53fb74d5404a-medium_jpg.jpg?buster=1481019308,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3236557-8eee682750d8c196d06d53fb74d5404a-thumb_jpg.jpg?buster=1481019308,4,"We provide a range of IT services such as: 
-Software Integration
-IT Support
-Network Engineering
-Software Development","Software & Network Solutions",1,http://inovatix.co,2016-12-06T10:15:09.000Z,2016-12-06T10:18:35.000Z,,,,,,,Technology,Djibouti,,,,
530641,0,"BPN Solutions ",https://angel.co/bpn-solutions,https://d1qb2nb5cznatu.cloudfront.net/startups/i/530641-e32dc3c0160efaafd410aef2b6a15933-medium_jpg.jpg?buster=1415559450,https://d1qb2nb5cznatu.cloudfront.net/startups/i/530641-e32dc3c0160efaafd410aef2b6a15933-thumb_jpg.jpg?buster=1415559450,4," Djiboutan.net – BPN Solutions is the owner of the website, Djiboutian.net.  This website solution has two parts.  The main website Djiboutian.net, has features of product, event, company and project promotion.  2.	Transport.Djiboutian.net solves or will a major issue for most companies in this area, by providing an inventory tracking system and shipping manifest verification process. This website has a shopping cart with products that will be associated with warehouses.  The warehouses are grouped and connected with products that are listed on site.  For example a warehouse in Dubai, is grouped with 6000 products on the website as a vendor.  Ethiopian importers and Djiboutian importers now have a shopping cart to show customers and can easily search for that customer’s request. Once the order is made an invoice with barcode labal is generated.  The information is shared correctly with each step in the SCM to the destination.  This service did not exist here and is branded to do well.","Djiboutian Brand - Inventory Tracking System",1,http://www.djiboutian.net,2014-11-09T18:57:34.000Z,2014-11-09T19:21:23.000Z,,,,,,,"South East Asia, East Africa, Dubai, China",Djibouti,,,,
233595,0,"TKE-Djibouti Power Light",https://angel.co/tke-djibouti-power-light,https://d1qb2nb5cznatu.cloudfront.net/startups/i/233595-487d6852c55b746aec8e1b29842e78b7-medium_jpg.jpg?buster=1373658855,https://d1qb2nb5cznatu.cloudfront.net/startups/i/233595-487d6852c55b746aec8e1b29842e78b7-thumb_jpg.jpg?buster=1373658855,4,"The electricity produced will generate 50% return on investment beginning in year 2.

This project will provide the Republic of Djibouti with an immediate answer to their electric needs, and kickstart them to becoming 100% energy independent through renewable energy.

The project development is 90% completed with all licensing, agreements, land purchase, and studies completed.  

Once in operation the project with provide up to 52 mega-watts of electricity to several major end users through the use of conventional power generation, and renewable energy (PV Solar).  This will be done with the construction of a hybrid micro-grid that will be located in a secure location next to the US military base (Camp Lemonier).

The pricing of the electricity for the US military is $100/Megawatt less than what they are currently paying.  They will realize an immediate $16,000,000/year savings with us.  

There is no competition in this market--none.","Renewable Energy in Africa",3,http://www.djpl.org,2013-07-12T14:43:03.000Z,2013-11-05T12:13:20.000Z,,,,,,,"Governments, Commercial Solar, Electrical Distribution, DOD/Military",Djibouti,1-10,Startup,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/192/012/192012-58086ccfb4696932e69597df173b05b41f7f52fe.jpg?1373653039, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/192/022/192022-f76aabad3cbfd985873454a60843766273b56612.jpg?1373653186, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/192/025/192025-ddc63823d81fea41f8f16f9c01455147538a911d.jpg?1373653274, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/192/026/192026-43329092b03d7ccfbf8424080b7d58e1d93c4903.jpg?1373653308, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/192/031/192031-44676849d46facdba553a72def42bbb36cca2286.jpg?1373653412"
