id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5390924,0,Riska_D_Rollaz,https://angel.co/riska_d_rollaz,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5390924-202f3a26e9f236156063632ba3316ec7-medium_jpg.jpg?buster=1519917347,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5390924-202f3a26e9f236156063632ba3316ec7-thumb_jpg.jpg?buster=1519917347,0,,,1,,2018-03-01T14:25:09.000Z,2018-03-01T15:15:48.000Z,,,,,,,"Publishing, Multimedia",Mankayane,1-10,,,
2693496,0,"Echelon Global Incorporated ",https://angel.co/echelon-global-incorporated,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2693496-ad9c2d38708cc02d0dd9fc4be3940357-medium_jpg.jpg?buster=1476266649,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2693496-ad9c2d38708cc02d0dd9fc4be3940357-thumb_jpg.jpg?buster=1476266649,4,"NDT Non Destructive Testing, helps you determine heavy plant industrial material Intergrity, cutting costs by preventing plant operational stoppages and material Life span as per OEM specificatios, giving you! the client the convinience of ease and effiecieny, knowing you have world class Industrial Inspection services, ensuring your plant safety, no unpreceedent stoppages and optimum efficiency.","Optimum Quality Assured ",1,http://www.echelonglobalinc.com,2016-10-12T10:04:10.000Z,2016-10-12T10:47:25.000Z,,,,,,,"Oil and Gas, Innovation Engineering, Mining Technologies, Food Processing",Matsapha,,,,
1093244,0,Ummo,https://angel.co/ummo,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1093244-7827b6faeb55623ea37b305cad8d0227-medium_jpg.jpg?buster=1460512688,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1093244-7827b6faeb55623ea37b305cad8d0227-thumb_jpg.jpg?buster=1460512688,1,"Ummo’s User Application enables a user to view specific service queues, query queue requirements and its current state, join a queue, receive notifications on the queue’s progress, and to share reviews after being serviced. Simply tap on a service and hit ""join""; you get to track your position in real time as the queue progresses. With efficient notification systems, you get the service at the right time - when it matters most.

Service providers - in turn - get to monitor their lines and carefully anticipate the requirements from their customers as well as get rated on their service with user reviews. By managing the queues on a mobile device, each service agent simply ""swipes"" a user/customer once they have received a service.","Everyone's virtual queueing agent",6,http://www.ummo.xyz,2016-04-13T01:58:08.000Z,2016-04-17T06:49:14.000Z,,,,,,https://youtu.be/WonATZUxtuc,"Mobile, SaaS, Enterprise Software, Mobile Commerce",Mbabane,,,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/462/683462-68d4d86f3812392cecc7ba26f002d9b9a1f4e877.jpg?1460514427, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/463/683463-9dff37f7f138f4d1ad3573262e9e670023242a5e.jpg?1460514454, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/464/683464-bc8810085a6e2c6b6fe180b61cf2929bf6f95c8c.jpg?1460514480, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/465/683465-ccf48b54b45d4506d285050fd0eb1a23277d4f35.jpg?1460514517, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/466/683466-98d8fdd20d1e275363a4d84eee3e502d0863e110.jpg?1460514550, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/467/683467-e5e20d1c6fbc7f9636b35d5b858d809f98a2d3a6.jpg?1460514578, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/683/468/683468-a08b228d975fc4526a4b81c3bad0d0231568be30.jpg?1460514806"
323640,0,partyeswatini,https://angel.co/partyeswatini,https://d1qb2nb5cznatu.cloudfront.net/startups/i/323640-ee77e90b5a64a158255dcdb728a9ff7c-medium_jpg.jpg?buster=1389772433,https://d1qb2nb5cznatu.cloudfront.net/startups/i/323640-ee77e90b5a64a158255dcdb728a9ff7c-thumb_jpg.jpg?buster=1389772433,4,"Partyeswatini is the only private credit card provider based in The Kingdom of Swaziland whose mission is to provide world class credit card services to the Swazi people through its 'partyeswatini visa prepaid credit cards.'

About 95% of young people ages 13-35 don't qualify for pre-approved credit cards from operating banks, that equals a possible market of over 300 000 people.
The 'partyeswatini prepaid credit cards' are available to anyone & everyone, no minimum salary required, no bank account needed.
Our cards not only act as credit cards but also feature benefit programs like 24hr roadside assistance, airport lounge access, car rental insurance, 24hr concierge service, international parcel shipping and much more.
They are aimed at young people who engage in modern day activities like travel, shopping, entertainment and online commerce. Our cards are accepted at visa points all over the world","private credit card provider",1,http://www.partyeswatini.com,2014-01-15T07:53:57.000Z,2014-01-15T16:00:39.000Z,,,,,,,"E-Commerce, Young Adults, Travel, All Students",Mbabane,1-10,,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/269/131/269131-7836873267d1cbd9aaba97216d14a346097623af.JPG?1389772828, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/269/132/269132-e9271a2e9e2fbcb91556a2fbc91912409b015da5.JPG?1389772885, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/269/133/269133-b1aa4b3809f2e7ed22e9c0041b785c3cdb241296.JPG?1389772944, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/269/135/269135-572de9b82fa66c526d21f35d115e0375028325d5.JPG?1389773007, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/269/136/269136-04d14d1f82e89b66a605e45359671bd18322edfe.JPG?1389773061, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/269/137/269137-c0bade5a8f1242292191c3defde673ed9ce996c0.JPG?1389773116"
279529,0,"Fusion Entertainment Hub",https://angel.co/fusion-entertainment-hub,https://d1qb2nb5cznatu.cloudfront.net/startups/i/279529-d425c35937a15cb2ff0b9960fea6c5b1-medium_jpg.jpg?buster=1381596411,https://d1qb2nb5cznatu.cloudfront.net/startups/i/279529-d425c35937a15cb2ff0b9960fea6c5b1-thumb_jpg.jpg?buster=1381596411,4,"We are looking to broaden the social activities in the Kingdom of Swaziland. We will be opening automated 10 pin bowling,  a bar which  will house a stage for live band and comedic showcasing as well as cultural and liberal arts.  Furthermore we understand the importance of making our customers with families a priority and that is why we intend to offer a CCTV and controlled access arcade room. We will also offer transportation services at special rates for our customers to enjoy a drink without risking their lives or that of any other motorists or pedestrians. 

We are looking to expand via the opening of an additional two branches around the Kingdom after the stabilization of our first branch in the capital; Mbabane. Our barroom will also offer up gourmet pub and street fare at competitive rates.","New business-NO COMPETITORS",2,http://www.facebook.com/FusionEntertainmentHub,2013-10-12T16:46:54.000Z,2013-12-10T09:08:16.000Z,,http://twitter.com/@Fusion_Ent_Hub,,,,,Restaurants,Mbabane,1-10,,,
