id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
4727335,0,"SMGT Consulting",https://angel.co/smgt-consulting,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4727335-f8916fd183e3d6caa9648af965f69be0-medium_jpg.jpg?buster=1506949472,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4727335-f8916fd183e3d6caa9648af965f69be0-thumb_jpg.jpg?buster=1506949472,0,"Our project is in Somaliland and it involves a Sultaan to prevent challenges, remove risks and ensure everything is fair. 

We have a number of amazing investment opportunities in Somaliland which we are seeking partners for.

One of those opportunities is a dairy farm that will be dedicated to resolve the dairy problem Somaliland are experiencing.

As it stands, 90% of the population drink powdered milk and there are no cheese, buttermilk or butter products. Every year, private businesses buy powdered milk for the equivalent of $250M. In addition, Cheese is imported at close $200M.

This is because of the growing professional population, the influx of foreign workers, the fast growth in the restaurants and take away sector, the boom of coffee shops and other businesses in the hospitality industry.

According to our research, there are currently extremely high demands for fresh dairy products and people are willing to make a change providing the price is right.","Buying high value for a low price in Somaliland",2,http://www.smgtconsulting.com,2017-10-02T13:04:33.000Z,2017-10-02T13:11:21.000Z,,,,,,,"Real Estate, Manufacturing, Agriculture, Dairy",Hargeisa,,,,
4666714,0,"iDHAMAC Investment & Consultant Firm",https://angel.co/idhamac-investment-consultant-firm,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4666714-3b389bed6fe5bc3216f4f08b37150019-medium_jpg.jpg?buster=1505771596,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4666714-3b389bed6fe5bc3216f4f08b37150019-thumb_jpg.jpg?buster=1505771596,0,"
●	Investment Management/ Identification Services – iDHAMAC is a professional asset and fund management services offers Investment Identification Services in Somalia/Somaliland, management assets on both real estate and businesses. and offer service such as: -Due Diligence  -Local Business Representation -Local Staffing / HR  -Procurement and Logistics 

●	Business Legal Services – As our clients have significant legal challenges while investing in Somalia /Somaliland. our legal team can give them the adequate support about the regulations concerning business sector for their Investment and organization both nationally and international in regulation Such as Investment law, Company Law, International trade law, Commercial law.

●	Financial Advisory Services- iDHAMAC’s Financial Advisory Services practice provides comprehensive financial, economic and strategic advice to companies with complex business problems or disputes.","Huge Market potential and Huge investments returns with Specialized company.",1,http://www.idhamac.com,2017-09-18T20:57:50.000Z,2017-09-21T06:10:24.000Z,,,,https://www.facebook.com/IDHAMAC/,,,"Financial Services, Legal, East Africa, Foreign Investments","Somalia, Hargeisa",,"Law Firm, Financial Consultant, Investment Firm",,
4503562,0,"Qale ",https://angel.co/qale,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4503562-6aafdecb9cff064b0d9d8379bdd9b923-medium_jpg.jpg?buster=1502569654,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4503562-6aafdecb9cff064b0d9d8379bdd9b923-thumb_jpg.jpg?buster=1502569654,0,"Qale Corporation is an investment management firm, registered in Mogadishu Somalia. Our main goal is to allocate capital into under-valued good businesses that have a durable competitive advantage, most importantly we look for businesses that operate according to Shariah principles. 
It is our long-term goal to become the preferred investment management firm both for Somali business and Somali citizens. Our investment approach is known as Value Investing.","Hedge Fund Value Investing",1,http://www.qalecorporation.com,2017-08-12T20:27:35.000Z,2017-08-12T20:37:09.000Z,,,,,,,"Clean Technology, Consumer Goods, Insurance Companies",Mogadishu,,,,
1922982,0,"Blue Horn Group",https://angel.co/blue-horn-group,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1922982-754f5310e099bff2258ff4d3d1fa5290-medium_jpg.jpg?buster=1471941375,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1922982-754f5310e099bff2258ff4d3d1fa5290-thumb_jpg.jpg?buster=1471941375,1,"DAIRY FACTORY
It is needless to mention that, milk has the most appropriate and balanced combination among various foods that human feed on them daily and because of this fact milk is commonly called the perfect food.

FISHING ACADEMY
its very important and essential to all fishermen around the world to know basics about fishing safety and fish processing & reservation.
We are working with Ministry of Fisheries in Somaliland to start the first fisheries training school to support the fishing industry","INTEGRITY, TRANSPARENCY,INNOVATION",1,http://bluehorngroup.com/,2016-08-23T08:36:16.000Z,2016-08-23T09:14:40.000Z,,,,,,,"Clean Energy, Education, Manufacturing, Food and Beverages","Hargeysa, Dubai",11-50,"Private Company",,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/737/572/737572-208ea55f650e1313e0334a1b9cf967455c895212.jpg?1471943619, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/737/573/737573-be8cbcfe90d4675e5a42407ee3de030dfe42c62b.jpg?1471943653, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/737/574/737574-db3542f68e83193ecf39d1f33a931fac3d139b6b.jpg?1471943673"
406010,0,"Air Somaliand",https://angel.co/air-somaliand,https://d1qb2nb5cznatu.cloudfront.net/startups/i/406010-a15da1b4e54372666d312a41b396c1e0-medium_jpg.jpg?buster=1407563653,https://d1qb2nb5cznatu.cloudfront.net/startups/i/406010-a15da1b4e54372666d312a41b396c1e0-thumb_jpg.jpg?buster=1407563653,4,"Air Somailand is Somailiand's 1st Privatley-owned Airline","100s of Destinations",3,http://airsomaliland.yolasite.com,2014-05-27T14:29:31.000Z,2016-12-06T21:58:10.000Z,http://www.crunchbase.com/organization/%2Forganization%2Fair-somaliand,,,,,,"Transportation, Travel, General Aviation",Hargeysa,1-10,Startup,,https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/373/615/373615-28df59b76f8f5c28026cae62ebf8347b12858938.jpg?1407594591
291791,1,"The Winddrinker",https://angel.co/the-winddrinker,https://d1qb2nb5cznatu.cloudfront.net/startups/i/291791-62574e6e4cafc1ecab4bcc1938123087-medium_jpg.jpg?buster=1383928963,https://d1qb2nb5cznatu.cloudfront.net/startups/i/291791-62574e6e4cafc1ecab4bcc1938123087-thumb_jpg.jpg?buster=1383928963,1,"Our decentralized desalination system uses only wind power to turn brackish or sea water into clean, affordable drinking water.  We are acutely aware of the risks of ""dumping"" technology in the developing world. Our work always starts on the ground, at the market, in local communities, with local buy-in and partners.  Working with local partners and entrepreneurs, we design tailor made solutions designed with our software model, which optimizes conditions to produce clean water in maximum quantities. 

We have learned through doing.  We currently have a pilot project in Berbera, Somaliland.  There we developed our own fully mechanical system that is more efficient than other systems, is low cost, and is easy to maintain with local workforces.  It can generate 25,000L of water/day, enough for 5,000 to 20,000 people.
 
We are scaling up more Winddrinkers in Somalia and Kenya.","We turn salt water into cheap, fresh drinking water using renewable resources.",5,http://www.thewinddrinker.com,2013-11-08T16:42:46.000Z,2016-10-19T17:15:41.000Z,http://www.crunchbase.com/organization/%2Forganization%2Fthe-winddrinker,https://twitter.com/TheWinddrinker,,,,http://www.youtube.com/watch?v=-HtXnCW_s9E,"Clean Technology, Water, Entrepreneur, Water Purification",Somalia,1-10,,www.thewinddrinker.com,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/207/242207-33fb536d3b0f0cdf80d1032555f38a58aff1be8a.jpg?1383930766, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/208/242208-834a2ba361c6e5dc5610fc8d854ade57b194d263.jpg?1383930784, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/209/242209-9556a93314d5306a7746505bfb1116b1be2f2344.jpg?1383930811, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/230/242230-380ab0303aed8540d60034f67aeff04f1b0681da.jpg?1383932662, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/232/242232-7d85aa511fb9227ad3c0bb98aa7b76133048cc9f.jpg?1383932700, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/234/242234-63dd40f30db0f702617fb25364754d811df2c334.jpg?1383932725, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/242/235/242235-d1118f2308e663192fb0563e72643274bdf48772.jpg?1383932741"
